teamstatspk,Team,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,three_point_shooting_volume,three_point_total_contribution
41,LA Clippers,0.537,3966,9314,3370,7060,47.7,1041,2734,38.1,1533,1962,78.1,2022-23,0.38725212464589237,0.33530169637105434
42,Miami Heat,0.537,3961,8977,3215,6991,46.0,980,2852,34.4,1567,1885,83.1,2022-23,0.40795308253468743,0.3275036203631503
43,Los Angeles Lakers,0.524,3976,9608,3516,7298,48.2,885,2558,34.6,1691,2182,77.5,2022-23,0.35050698821594956,0.2763322231473772
44,Minnesota Timberwolves,0.512,3966,9494,3515,7167,49.0,997,2731,36.5,1467,1942,75.5,2022-23,0.3810520440909725,0.3150410785759427
45,New Orleans Pelicans,0.512,3971,9378,3447,7180,48.0,899,2468,36.4,1585,2000,79.3,2022-23,0.34373259052924793,0.2875879718490083
46,Atlanta Hawks,0.5,3971,9711,3658,7574,48.3,882,2505,35.2,1513,1850,81.8,2022-23,0.3307367309215738,0.27247451343836887
47,Toronto Raptors,0.5,3961,9254,3434,7489,45.9,880,2626,33.5,1506,1922,78.4,2022-23,0.35064761650420617,0.28528204019883296
48,Chicago Bulls,0.488,3981,9276,3488,7116,49.0,854,2367,36.1,1446,1788,80.9,2022-23,0.3326306913996627,0.27619663648124193
49,Oklahoma City Thunder,0.488,3971,9633,3533,7590,46.5,995,2797,35.6,1572,1944,80.9,2022-23,0.36851119894598156,0.3098723139208969
50,Dallas Mavericks,0.463,3986,9366,3283,6909,47.5,1246,3362,37.1,1554,2057,75.5,2022-23,0.48661166594297295,0.3991031390134529
51,Utah Jazz,0.451,3961,9600,3485,7365,47.3,1094,3099,35.3,1536,1955,78.6,2022-23,0.4207739307535642,0.341875
52,Indiana Pacers,0.427,3951,9535,3444,7345,46.9,1112,3030,36.7,1535,1944,79.0,2022-23,0.41252552756977534,0.3498689040377556
53,Washington Wizards,0.427,3951,9279,3456,7127,48.5,925,2601,35.6,1442,1838,78.5,2022-23,0.36495018942051355,0.29906239896540576
54,Orlando Magic,0.415,3956,9136,3323,7074,47.0,883,2551,34.6,1607,2050,78.4,2022-23,0.36061634153237204,0.2899518388791594
55,Portland Trail Blazers,0.402,3946,9299,3317,7001,47.4,1056,2893,36.5,1609,2021,79.6,2022-23,0.4132266819025853,0.3406817937412625
56,Charlotte Hornets,0.329,3966,9098,3385,7413,45.7,881,2669,33.0,1447,1932,74.9,2022-23,0.3600431674086065,0.29050340734227303
57,Houston Rockets,0.268,3951,9081,3329,7287,45.7,856,2619,32.7,1567,2078,75.4,2022-23,0.35940716344174556,0.28278823918070695
58,San Antonio Spurs,0.268,3971,9269,3533,7593,46.5,911,2640,34.5,1292,1739,74.3,2022-23,0.34768866060845516,0.29485381378789516
59,Detroit Pistons,0.207,3961,9045,3244,7140,45.4,934,2659,35.1,1623,2106,77.1,2022-23,0.3724089635854342,0.3097844112769486
60,Phoenix Suns,0.78,3946,9416,3581,7389,48.5,951,2616,36.4,1303,1635,79.7,2021-22,0.35403978887535525,0.3029949022939677
61,Memphis Grizzlies,0.683,3956,9480,3571,7739,46.1,945,2679,35.3,1393,1898,73.4,2021-22,0.34616875565318517,0.2990506329113924
62,Golden State Warriors,0.646,3946,9102,3323,7087,46.9,1176,3231,36.4,1280,1665,76.9,2021-22,0.45590517849583745,0.38760711931443637
63,Miami Heat,0.646,3971,9022,3246,6954,46.7,1114,2936,37.9,1416,1753,80.8,2021-22,0.42220304860511937,0.37042784305032145
64,Dallas Mavericks,0.634,3951,8858,3222,6982,46.1,1073,3063,35.0,1341,1739,77.1,2021-22,0.43869951303351473,0.3634003160984421
65,Boston Celtics,0.622,3981,9164,3341,7167,46.6,1085,3044,35.6,1397,1713,81.6,2021-22,0.42472443142179434,0.35519423832387603
66,Milwaukee Bucks,0.622,3951,9470,3429,7331,46.8,1153,3151,36.6,1459,1881,77.6,2021-22,0.42981857863865774,0.3652587117212249
67,Philadelphia 76ers,0.622,3961,9015,3230,6932,46.6,950,2608,36.4,1605,1955,82.1,2021-22,0.3762261973456434,0.3161397670549085
68,Utah Jazz,0.598,3946,9316,3327,7067,47.1,1192,3308,36.0,1470,1916,76.7,2021-22,0.46809112777699163,0.38385573207385143
69,Denver Nuggets,0.585,3961,9243,3416,7079,48.3,1039,2944,35.3,1372,1725,79.5,2021-22,0.41587794886283375,0.33722817267121064
